Car Name,Price,Fuel Type,KM Driven
2021 Toyota Camry HYBRID,₹30.75 lakh,Hybrid,39.75k km
2015 Toyota Etios G,₹2.56 lakh,Petrol,34.53k km
2017 Toyota Corolla Altis G CVT PETROL,₹6.40 lakh,Petrol,26.93k km
2021 Toyota URBAN CRUISER PREMIUM GRADE AT,₹7.20 lakh,Petrol,52.14k km
2018 Toyota YARIS V CVT,₹5.11 lakh,Petrol,62.36k km
2011 Toyota Innova V 2.5 8 STR,₹3.59 lakh,Diesel,1.6L km
2011 Toyota Etios G,₹1.71 lakh,Petrol,59.29k km
2011 Toyota Etios G,₹1.74 lakh,Petrol,1.1L km
2011 Toyota Etios G,₹1.50 lakh,Petrol,98.28k km
2011 Toyota Etios G,₹2.06 lakh,Petrol,48.41k km
2011 Toyota Etios G,₹1.50 lakh,Petrol,63.92k km
2011 Toyota Etios G,₹1.65 lakh,Petrol,77.00k km
2014 Toyota Corolla Altis G PETROL,₹3.25 lakh,Petrol,78.49k km
2011 Toyota Etios V,₹1.21 lakh,Petrol,1.4L km
2018 Toyota YARIS V CVT,₹5.38 lakh,Petrol,24.30k km
2013 Toyota Etios Liva G,₹2.07 lakh,Petrol,45.95k km
2016 Toyota Innova Crysta 2.4 G 7 STR,₹10.94 lakh,Diesel,1.2L km
2012 Toyota Etios V,₹1.70 lakh,Petrol,1.2L km
2013 Toyota Etios V,₹2.34 lakh,Petrol,70.52k km
2011 Toyota Etios V,₹1.97 lakh,Petrol,1.5L km
